sequence,action,bucket,name,country,priority,sources,reason
354,create,create_us_supplier,Global Forensic and Justice Center at Florida,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
355,create,create_us_supplier,Global Ordnance LLC,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
356,create,create_us_supplier,Global Technical Systems,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
357,create,create_us_supplier,Globalstar,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
358,create,create_us_supplier,GM Defense,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
359,create,create_us_supplier,goTenna,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
360,create,create_us_supplier,GovSmart Inc,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
361,create,create_us_supplier,Graphika,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
362,create,create_us_supplier,Greensea IQ,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
363,create,create_us_supplier,Gulf Coast Underwriters,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
364,create,create_us_supplier,Haivision,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
365,create,create_us_supplier,Haley Strategic Partners LLC,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
366,create,create_us_supplier,Hanwha Defense USA,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
367,create,create_us_supplier,Hascall-Denke,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
368,create,create_us_supplier,HawkEye 360 Inc,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
369,create,create_us_supplier,Heckler & Koch Defense,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
370,create,create_us_supplier,Hefring Marine,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
371,create,create_us_supplier,HELLENIC DEFENCE SYSTEMS SA,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
372,create,create_us_supplier,HighCom Armor,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
373,create,create_us_supplier,HII,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
374,create,create_us_supplier,Hoffman Engineering,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
375,create,create_us_supplier,Holosun Technologies Inc,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
376,create,create_us_supplier,Holtec Security International,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
377,create,create_us_supplier,HPE,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
378,create,create_us_supplier,HTL / Herrick Technology Laboratories Inc,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
379,create,create_us_supplier,Hui Huliau,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
380,create,create_us_supplier,IAI North America,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
381,create,create_us_supplier,IBM,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
382,create,create_us_supplier,iDirect Government,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
383,create,create_us_supplier,Illumio,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
384,create,create_us_supplier,Immersive Wisdom Inc,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
385,create,create_us_supplier,Inertial Labs,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
386,create,create_us_supplier,"Inertial Labs, a VIAVI Solutions Company",US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
387,create,create_us_supplier,InSiTec,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
388,create,create_us_supplier,Instant Connect Software LLC,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
389,create,create_us_supplier,Integrated Procurement Technologies (IPT),US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
390,create,create_us_supplier,Intelligent Devices LLC,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
391,create,create_us_supplier,Intelligent Waves,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
392,create,create_us_supplier,IntelliGRC,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
393,create,create_us_supplier,Intelsat US LLC,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
394,create,create_us_supplier,Intracom Defense S.A. (IDE),US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
395,create,create_us_supplier,Inventus Power,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
396,create,create_us_supplier,"Iridium Communications, Inc.",US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
397,create,create_us_supplier,Iris Technology Corporation,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
398,create,create_us_supplier,Jabil,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
399,create,create_us_supplier,Jacobs,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
400,create,create_us_supplier,"JENOPTIK Optical Systems, LLC",US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
401,create,create_us_supplier,JFD Ltd,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
402,create,create_us_supplier,Juggernaut Case,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
403,create,create_us_supplier,KAC (Knights Armament),US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
404,create,create_us_supplier,Kharon,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
405,create,create_us_supplier,KLAS Government,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
406,create,create_us_supplier,Kord Defence,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
407,create,create_us_supplier,Korea Defense Industry Corp.,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
408,create,create_us_supplier,Kraka Jet Board by SOAL Marine Group,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
409,create,create_us_supplier,Lakota Software,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
410,create,create_us_supplier,Latent AI Inc,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
411,create,create_us_supplier,LC Industries (LCI),US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
412,create,create_us_supplier,LCR Embedded Systems,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
413,create,create_us_supplier,Legacy Innovations,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
414,create,create_us_supplier,Lenco Armored Vehicles,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
415,create,create_us_supplier,LiquidPiston,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
416,create,create_us_supplier,"LiteFighter Systems, LLC",US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
417,create,create_us_supplier,Lithium Battery Co,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
418,create,create_us_supplier,LiveAction,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
419,create,create_us_supplier,LOWA Boots,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
420,create,create_us_supplier,Lyten,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
421,create,create_us_supplier,MACH Industries Inc,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
422,create,create_us_supplier,"Mack Defense, LLC",US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
423,create,create_us_supplier,Magam Safety Ltd,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
424,create,create_us_supplier,Magnet Forensics,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
425,create,create_us_supplier,Mainsail Industries,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
426,create,create_us_supplier,ManTech International Corp,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
427,create,create_us_supplier,Marvin Land Systems,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
428,create,create_us_supplier,MaxVision,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
429,create,create_us_supplier,MedVanta,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
430,create,create_us_supplier,Meltwater,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
431,create,create_us_supplier,Micro Ant LLC,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
432,create,create_us_supplier,Miltope Corporation,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
433,create,create_us_supplier,Moffitt,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
434,create,create_us_supplier,MOHOC Inc,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
435,create,create_us_supplier,MOORI Technologies Co.,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
436,create,create_us_supplier,Motorola Solutions,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
437,create,create_us_supplier,Mountain Horse Solutions,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
438,create,create_us_supplier,MSAB Incorporated,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
439,create,create_us_supplier,MustWants / BlackHays Group,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
440,create,create_us_supplier,Nantenna,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
441,create,create_us_supplier,National Defense Corporation,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
442,create,create_us_supplier,Navanti,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
443,create,create_us_supplier,Nebula Compute Inc,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
444,create,create_us_supplier,Nevada Automotive Test Center,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
445,create,create_us_supplier,Northern Diver International Ltd,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
446,create,create_us_supplier,NTrepid LLC,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
447,create,create_us_supplier,Numerica Corporation,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
448,create,create_us_supplier,Nutanix,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
449,create,create_us_supplier,NV5 Geospatial,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
450,create,create_us_supplier,NVTS Night Vision Technology Solutions Inc,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
451,create,create_us_supplier,Oceaneering,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
452,create,create_us_supplier,Oceus,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
453,create,create_us_supplier,Octane Wireless,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
454,create,create_us_supplier,ODU USA,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
455,create,create_us_supplier,Offroad Autonomy,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
456,create,create_us_supplier,OffSec,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
457,create,create_us_supplier,Olin Winchester LLC,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
458,create,create_us_supplier,Ombra,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
459,create,create_us_supplier,Omnetics Connector Corporation,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
460,create,create_us_supplier,One Stop Systems (OSS),US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
461,create,create_us_supplier,Operation Healing Forces,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
462,create,create_us_supplier,OPTIA,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
463,create,create_us_supplier,Oracle,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
464,create,create_us_supplier,Oshkosh Defense,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
465,create,create_us_supplier,OSI Optoelectronics,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
466,create,create_us_supplier,Otis Technology,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
467,create,create_us_supplier,Out of the Box Manufacturing,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
468,create,create_us_supplier,Outdoor Vitals,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
469,create,create_us_supplier,Pacific Defense,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
470,create,create_us_supplier,Pacific Dive Supply,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
471,create,create_us_supplier,Pacific Northwest Defense Coalition (PNDC),US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
472,create,create_us_supplier,Palo Alto Networks,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
473,create,create_us_supplier,Patriot3 Inc,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
474,create,create_us_supplier,PDW,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
475,create,create_us_supplier,PenLink,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
476,create,create_us_supplier,Peraton,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
477,create,create_us_supplier,Percipient AI,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
478,create,create_us_supplier,Persistent Systems,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
479,create,create_us_supplier,Petzl,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
480,create,create_us_supplier,Phoenix Defence,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
481,create,create_us_supplier,Pixels on Target LLC,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
482,create,create_us_supplier,Planar,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
483,create,create_us_supplier,Powell Electronics,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
484,create,create_us_supplier,Power Device Corporation,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
485,create,create_us_supplier,Primary Arms Optics,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
486,create,create_us_supplier,Primordial Labs,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
487,create,create_us_supplier,Princeton Tec,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
488,create,create_us_supplier,Project Hosts,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
489,create,create_us_supplier,PTS Expeditionary Communications,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
490,create,create_us_supplier,PUBLIC SAFETY TRAINING & RESPONSE GROUP,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
491,create,create_us_supplier,PVP Advanced EO Systems Inc.,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
492,create,create_us_supplier,QinetiQ US,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
493,create,create_us_supplier,QSecure,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
494,create,create_us_supplier,Quantifind,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
495,create,create_us_supplier,Raider Outboards Inc,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
496,create,create_us_supplier,Ranger Industries LLC,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
497,create,create_us_supplier,Rapid Composites,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
498,create,create_us_supplier,Rapid Deployable Systems,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
499,create,create_us_supplier,Raptor Photonics,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
500,create,create_us_supplier,Raven Advisory LLC,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
501,create,create_us_supplier,Really Right Stuff LLC,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
502,create,create_us_supplier,Red Cat Holdings,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
503,create,create_us_supplier,Ridgeline International Inc,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
504,create,create_us_supplier,Rite in the Rain,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
505,create,create_us_supplier,Rocket.Chat,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
506,create,create_us_supplier,Rubrik,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
507,create,create_us_supplier,SABRN Tech,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
508,create,create_us_supplier,Sagetech Avionics Inc,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
509,create,create_us_supplier,Salomon,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
510,create,create_us_supplier,Samsung Electronics America,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
511,create,create_us_supplier,SAPA Transmission,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
512,create,create_us_supplier,SAS,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
513,create,create_us_supplier,Satcom Direct,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
514,create,create_us_supplier,SatCube,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
515,create,create_us_supplier,Savox,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
516,create,create_us_supplier,SBG Systems,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
517,create,create_us_supplier,Scale AI,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
518,create,create_us_supplier,Scepter Canada Inc,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
519,create,create_us_supplier,Schaefer Electronics Inc,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
520,create,create_us_supplier,"Sealevel Systems, Inc.",US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
521,create,create_us_supplier,Security Compass,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
522,create,create_us_supplier,Seerist,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
523,create,create_us_supplier,Seiler Precision Manufacturing,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
524,create,create_us_supplier,Sekai Electronics Inc,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
525,create,create_us_supplier,Selectron / EOST,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
526,create,create_us_supplier,"Sentry View Systems, Inc.",US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
527,create,create_us_supplier,SentryCS,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
528,create,create_us_supplier,Shaw Concepts LLC,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
529,create,create_us_supplier,Shojiki Consulting,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
530,create,create_us_supplier,SIG Sauer Inc,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
531,create,create_us_supplier,Sightline Intelligence,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
532,create,create_us_supplier,Silentium Defence,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
533,create,create_us_supplier,Silentium Defense,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
534,create,create_us_supplier,"Silvus Technologies, Inc.",US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
535,create,create_us_supplier,SIMLAT,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
536,create,create_us_supplier,Sinab,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
537,create,create_us_supplier,SiOnyx,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
538,create,create_us_supplier,Six Robotics,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
539,create,create_us_supplier,Skopenow Inc,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
540,create,create_us_supplier,Skyfront Corporation,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
541,create,create_us_supplier,Skylotec,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
542,create,create_us_supplier,SLNT,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
543,create,create_us_supplier,SMX (Premier Sponsor),US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
544,create,create_us_supplier,Socialgist,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
545,create,create_us_supplier,SOCO SofCast,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
546,create,create_us_supplier,SolarWinds,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
547,create,create_us_supplier,Somewear Labs,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
548,create,create_us_supplier,Sonatype,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
549,create,create_us_supplier,SOS Group,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
550,create,create_us_supplier,Sound Off,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
551,create,create_us_supplier,Southern Cross Small Arms,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
552,create,create_us_supplier,Southwest Research Institute,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
553,create,create_us_supplier,Spanalytics,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
554,create,create_us_supplier,Special Services Group LLC,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
555,create,create_us_supplier,Spectra Group US Inc,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
556,create,create_us_supplier,Spectro Cloud,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
557,create,create_us_supplier,SpeedData,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
558,create,create_us_supplier,SPIRIT AERONAUTICAL SYSTEMS SA,US,5,ausa_2025,new US supplier or sub-tier defense company for graph edge growth; source overlap: ausa_2025
559,create,create_us_supplier,Splunk,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
560,create,create_us_supplier,Spyderco Inc,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
561,create,create_us_supplier,SRG Government Services,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
562,create,create_us_supplier,StartGuides,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
563,create,create_us_supplier,Steadicopter,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
564,create,create_us_supplier,SteelCloud,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
565,create,create_us_supplier,STI-CO Industries LLC,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
566,create,create_us_supplier,Structural Composites Inc,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
567,create,create_us_supplier,SubSalve USA,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
568,create,create_us_supplier,SupplyCore Inc,US,5,sof_raw,new US supplier or sub-tier defense company for graph edge growth; source overlap: sof_raw
